siteLatitude,siteAddressLine2,siteStateName,semesterEndYear,disciplineSpecialty,maxMctaHpsaScore,disciplineTwo,disciplineOne,nursingActive,sitePhoneNumber,nhscMaxHpsaScoreDh,nursingMaxHpsaScorePc,nhscActive,starActive,siteId,psMaxHpsaScoreDh,camhpsActive,siteProgramAbbreviatedList,discipline,esrExternalIdentifier,trainingSite,maxMupPrimaryCareScore,siteCity,semesterSeason,recordKey,specialtyOne,nursingMaxHpsaScoreMh,siteOpportunityId,nhscMaxHpsaScoreMh,sitePostalCode,opportunityType,psMaxHpsaScorePc,maxMuaPrimaryCareScore,siteStateAbbreviation,siteAddressLine1,starMaxHpsaScoreMh,psMaxHpsaScoreMh,workSchedule,siteName,siteLongitude,siteTagList,nhscMaxHpsaScorePc,specialtyTwo
37.979442,,Illinois,0,"['Physician, MD/DO - OB/GYN']",17,,"Physician, MD/DO",True,6187242401,23,21,True,True,91428ECB-DD51-487E-B644-00F194FF3058,23,True,,"['Physician, MD/DO']",,False,NA,Christopher,,4055EAD6-9461-46E6-B471-0A2699868D07,OB/GYN,22,4055EAD6-9461-46E6-B471-0A2699868D07,22,62822,Job,21,55.0000,IL,4241 State Highway 14,22,22,"{'fullTime': True, 'partTime': False}",Christopher (Greater Area) Rural Health Planning Corporation (CRHPC),-89.044435,['SITE_PROFILE_COMPLETED'],21,
32.77042,,,0,"['Physician, MD/DO - General Practice', 'Physician, MD/DO - Family Practice']",19,,"Physician, MD/DO",True,,25,21,True,False,81FF2A7C-C755-4654-9DDB-255CF6F1E73F,25,True,,"['Physician, MD/DO']",,False,NA,Dallas,,E2652DCF-9601-407C-8A44-9D574FCFB30C,General Practice,20,E2652DCF-9601-407C-8A44-9D574FCFB30C,20,75215,Job,21,60,TX,2922B Martin Luther King Jr Blvd,20,20,"{'fullTime': False, 'partTime': True}","Foremost Family Health Center - Martin Luther King, Jr.",-96.766878,['SITE_PROFILE_COMPLETED'],21,
32.721107,,Texas,0,"['Physician, MD/DO - General Practice', 'Physician, MD/DO - Family Practice']",19,,"Physician, MD/DO",True,,25,21,True,False,95A86559-6CF2-4381-B5AB-E5785BE0654F,25,True,,"['Physician, MD/DO']",,False,NA,Balch Springs,,2266D88F-E01C-40D1-BC32-4F6EDDD134D9,General Practice,20,2266D88F-E01C-40D1-BC32-4F6EDDD134D9,20,75180,Job,21,NA,TX,3515 Shepherd Ln,20,20,"{'fullTime': False, 'partTime': True}",Foremost Family Health Center - Balch Springs,-96.614097,['SITE_PROFILE_COMPLETED'],21,
36.430796,,,0,"['Physician, MD/DO - OB/GYN']",22,,"Physician, MD/DO",True,,NA,22,True,True,59E2A2BE-B145-4B85-8141-AB25AB6D556A,25,True,,"['Physician, MD/DO']",,False,NA,Roanoke Rapids,,1A9203BD-C63D-45FF-98B7-5E3548A42F9F,OB/GYN,23,1A9203BD-C63D-45FF-98B7-5E3548A42F9F,23,27870,Job,22,34,NC,1381 Medical Center Dr,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group Family and Women’s Health,-77.641846,['SITE_PROFILE_COMPLETED'],22,
36.444996,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,CADCCC86-0741-4E94-8E54-2B03D045EF8F,25,True,,"['Physician, MD/DO']",,False,NA,Norlina,,02D9C4C5-4BAC-4D47-9EF2-4172B5B875EC,Internal Medicine - Pediatrics,23,02D9C4C5-4BAC-4D47-9EF2-4172B5B875EC,23,27563,Job,22,30.0000,NC,110 Division St,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at Norlina,-78.192887,['SITE_PROFILE_COMPLETED'],22,
36.432661,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,C90FCA53-A554-42F5-A1ED-427A7F36FEB7,25,True,,"['Physician, MD/DO']",,False,NA,Roanoke Rapids,,7B28D732-9F22-4A70-93AB-163DF9B1C65F,Internal Medicine - Pediatrics,23,7B28D732-9F22-4A70-93AB-163DF9B1C65F,23,27870,Job,22,34.0000,NC,270 Smith Church Rd,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at Halifax Medical Specialist,-77.651356,['SITE_PROFILE_COMPLETED'],22,
36.431979,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,F9DB41D1-BA0B-4191-9E3E-73E8D151DD64,25,True,,"['Physician, MD/DO']",,False,NA,Roanoke Rapids,,1396F904-4A24-4F3C-A7BA-8A4722CE32D4,Internal Medicine - Pediatrics,23,1396F904-4A24-4F3C-A7BA-8A4722CE32D4,23,27870,Job,22,34.0000,NC,250 Smith Church Rd,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at HRMC,-77.646319,['SITE_PROFILE_COMPLETED'],22,
36.272714,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,113D1B6F-4F1C-4A68-9D57-3C8008C21CC3,25,True,,"['Physician, MD/DO']",,False,NA,Rich Square,,802A2F2F-5814-4300-A86E-16AEF7202672,Internal Medicine - Pediatrics,23,802A2F2F-5814-4300-A86E-16AEF7202672,23,27869,Job,22,37.0000,NC,200 S Main St,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at Rich Square,-77.285187,['SITE_PROFILE_COMPLETED'],22,
36.17961,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,25677C2A-C416-47FB-9ACA-DAAFD41EDA20,25,True,,"['Physician, MD/DO']",,False,NA,Enfield,,C2D188FE-EA07-47C9-A4DD-D154DD3A6049,Internal Medicine - Pediatrics,23,C2D188FE-EA07-47C9-A4DD-D154DD3A6049,23,27823,Job,22,34.0000,NC,114 Market St,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at Enfield,-77.666051,['SITE_PROFILE_COMPLETED'],22,
36.433676,,,0,"['Physician, MD/DO - Internal Medicine - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",22,,"Physician, MD/DO",True,,NA,22,True,True,9B452E9C-1E26-4EC3-9EA6-C2900CAE896B,25,True,,"['Physician, MD/DO']",,False,NA,Littleton,,56834FDB-ABB4-4411-A359-8C716D3F8201,Internal Medicine - Pediatrics,23,56834FDB-ABB4-4411-A359-8C716D3F8201,23,27850,Job,22,34.0000,NC,108 Mosby Ave,23,23,"{'fullTime': True, 'partTime': False}",Rural Health Group at Lake Gaston,-77.91213,['SITE_PROFILE_COMPLETED'],22,
